GEO_ID,NAME,total population of 18 to 24 year old,High school educated population of 18 to 24 year olds
37001,Alamance County North Carolina,17574,4183
37003,Alexander County North Carolina,2858,1090
37005,Alleghany County North Carolina,663,149
37007,Anson County North Carolina,1917,933
37009,Ashe County North Carolina,1663,824
37011,Avery County North Carolina,1584,591
37013,Beaufort County North Carolina,3343,1455
37015,Bertie County North Carolina,1538,686
37017,Bladen County North Carolina,2447,884
37019,Brunswick County North Carolina,7331,2971
37021,Buncombe County North Carolina,19882,7528
37023,Burke County North Carolina,7351,2758
37025,Cabarrus County North Carolina,16834,6311
37027,Caldwell County North Carolina,6279,2165
37029,Camden County North Carolina,575,225
37031,Carteret County North Carolina,4508,1613
37033,Caswell County North Carolina,1901,692
37035,Catawba County North Carolina,13301,4598
37037,Chatham County North Carolina,4360,1893
37039,Cherokee County North Carolina,1791,880
37041,Chowan County North Carolina,561,176
37043,Clay County North Carolina,603,192
37045,Cleveland County North Carolina,8911,2780
37047,Columbus County North Carolina,4666,1949
37049,Craven County North Carolina,12432,5762
37051,Cumberland County North Carolina,44109,16555
37053,Currituck County North Carolina,1699,768
37055,Dare County North Carolina,2265,886
37057,Davidson County North Carolina,12633,4579
37059,Davie County North Carolina,3065,1504
37061,Duplin County North Carolina,4713,1148
37063,Durham County North Carolina,32351,7163
37065,Edgecombe County North Carolina,4040,1804
37067,Forsyth County North Carolina,36820,11971
37069,Franklin County North Carolina,5585,1642
37071,Gaston County North Carolina,17876,6843
37073,Gates County North Carolina,807,358
37075,Graham County North Carolina,637,194
37077,Granville County North Carolina,5072,1602
37079,Greene County North Carolina,1697,751
37081,Guilford County North Carolina,58209,14355
37083,Halifax County North Carolina,3801,1938
37085,Harnett County North Carolina,11750,3666
37087,Haywood County North Carolina,4056,1498
37089,Henderson County North Carolina,7442,2873
37091,Hertford County North Carolina,2714,918
37093,Hoke County North Carolina,4414,1731
37095,Hyde County North Carolina,164,60
37097,Iredell County North Carolina,14271,5536
37099,Jackson County North Carolina,8169,1129
37101,Johnston County North Carolina,15933,5590
37103,Jones County North Carolina,531,165
37105,Lee County North Carolina,4933,1464
37107,Lenoir County North Carolina,4300,1596
37109,Lincoln County North Carolina,5840,2276
37111,McDowell County North Carolina,3101,1188
37113,Macon County North Carolina,2288,718
37115,Madison County North Carolina,2144,710
37117,Martin County North Carolina,1601,603
37119,Mecklenburg County North Carolina,98680,24937
37121,Mitchell County North Carolina,1060,262
37123,Montgomery County North Carolina,2244,842
37125,Moore County North Carolina,6107,1979
37127,Nash County North Carolina,8238,2915
37129,New Hanover County North Carolina,29543,7841
37131,Northampton County North Carolina,1242,538
37133,Onslow County North Carolina,43726,23258
37135,Orange County North Carolina,26571,5394
37137,Pamlico County North Carolina,779,371
37139,Pasquotank County North Carolina,3785,927
37141,Pender County North Carolina,4580,1827
37143,Perquimans County North Carolina,777,236
37145,Person County North Carolina,2987,888
37147,Pitt County North Carolina,31388,7049
37149,Polk County North Carolina,1221,390
37151,Randolph County North Carolina,11345,3942
37153,Richmond County North Carolina,4022,1805
37155,Robeson County North Carolina,13451,4965
37157,Rockingham County North Carolina,6759,2374
37159,Rowan County North Carolina,12130,4546
37161,Rutherford County North Carolina,4916,1974
37163,Sampson County North Carolina,5313,1734
37165,Scotland County North Carolina,3335,1121
37167,Stanly County North Carolina,5035,1796
37169,Stokes County North Carolina,3397,1502
37171,Surry County North Carolina,5672,1947
37173,Swain County North Carolina,1199,579
37175,Transylvania County North Carolina,2663,868
37177,Tyrrell County North Carolina,391,150
37179,Union County North Carolina,21364,7341
37181,Vance County North Carolina,3860,1712
37183,Wake County North Carolina,99173,26398
37185,Warren County North Carolina,1671,581
37187,Washington County North Carolina,1174,528
37189,Watauga County North Carolina,15825,1978
37191,Wayne County North Carolina,12000,3885
37193,Wilkes County North Carolina,5138,1455
37195,Wilson County North Carolina,7144,2508
37197,Yadkin County North Carolina,2792,1100
37199,Yancey County North Carolina,1258,421